symbol,number,period,group,Gas,Solid,Liquid,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE
H,1.0,1.0,1.0,1.0,0.0,0.0,1.008,20.271,0.08988,13.99,72.769,2.2,1312.0
He,2.0,1.0,18.0,1.0,0.0,0.0,4.0026022,4.222,0.1786,0.95,-48.0,0.0,2372.3
Li,3.0,2.0,1.0,0.0,1.0,0.0,6.94,1603.0,0.534,453.65,59.6326,0.98,520.2
Be,4.0,2.0,2.0,0.0,1.0,0.0,9.01218315,2742.0,1.85,1560.0,-48.0,1.57,899.5
B,5.0,2.0,13.0,0.0,1.0,0.0,10.81,4200.0,2.08,2349.0,26.989,2.04,800.6
C,6.0,2.0,14.0,0.0,1.0,0.0,12.011,0.0,1.821,0.0,121.7763,2.55,1086.5
N,7.0,2.0,15.0,1.0,0.0,0.0,14.007,77.355,1.251,63.15,-6.8,3.04,1402.3
O,8.0,2.0,16.0,1.0,0.0,0.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
F,9.0,2.0,17.0,1.0,0.0,0.0,18.99840316,85.03,1.696,53.48,328.1649,3.98,1681.0
Ne,10.0,2.0,18.0,1.0,0.0,0.0,20.17976,27.104,0.9002,24.56,-116.0,0.0,2080.7
Na,11.0,3.0,1.0,0.0,1.0,0.0,22.98976928,1156.09,0.968,370.944,52.867,0.93,495.8
Mg,12.0,3.0,2.0,0.0,1.0,0.0,24.305,1363.0,1.738,923.0,-40.0,1.31,737.7
Al,13.0,3.0,13.0,0.0,1.0,0.0,26.98153857,2743.0,2.7,933.47,41.762,1.61,577.5
Si,14.0,3.0,14.0,0.0,1.0,0.0,28.085,3538.0,2.329,1687.0,134.0684,1.9,786.5
P,15.0,3.0,15.0,0.0,1.0,0.0,30.973762,0.0,1.823,0.0,72.037,2.19,1011.8
S,16.0,3.0,16.0,0.0,1.0,0.0,32.06,717.8,2.07,388.36,200.4101,2.58,999.6
Cl,17.0,3.0,17.0,1.0,0.0,0.0,35.45,239.11,3.2,171.6,348.575,3.16,1251.2
Ar,18.0,3.0,18.0,1.0,0.0,0.0,39.9481,87.302,1.784,83.81,-96.0,0.0,1520.6
K,19.0,4.0,1.0,0.0,1.0,0.0,39.09831,1032.0,0.862,336.7,48.383,0.82,418.8
Ca,20.0,4.0,2.0,0.0,1.0,0.0,40.0784,1757.0,1.55,1115.0,2.37,1.0,589.8
Sc,21.0,4.0,3.0,0.0,1.0,0.0,44.9559085,3109.0,2.985,1814.0,18.0,1.36,633.1
Ti,22.0,4.0,4.0,0.0,1.0,0.0,47.8671,3560.0,4.506,1941.0,7.289,1.54,658.8
V,23.0,4.0,5.0,0.0,1.0,0.0,50.94151,3680.0,6.0,2183.0,50.911,1.63,650.9
Cr,24.0,4.0,6.0,0.0,1.0,0.0,51.99616,2944.0,7.19,2180.0,65.21,1.66,652.9
Mn,25.0,4.0,7.0,0.0,1.0,0.0,54.9380443,2334.0,7.21,1519.0,-50.0,1.55,717.3
Fe,26.0,4.0,8.0,0.0,1.0,0.0,55.8452,3134.0,7.874,1811.0,14.785,1.83,762.5
Co,27.0,4.0,9.0,0.0,1.0,0.0,58.9331944,3200.0,8.9,1768.0,63.898,1.88,760.4
Ni,28.0,4.0,10.0,0.0,1.0,0.0,58.69344,3003.0,8.908,1728.0,111.65,1.91,737.1
Cu,29.0,4.0,11.0,0.0,1.0,0.0,63.5463,2835.0,8.96,1357.77,119.235,1.9,745.5
Zn,30.0,4.0,12.0,0.0,1.0,0.0,65.382,1180.0,7.14,692.68,-58.0,1.65,906.4
Ga,31.0,4.0,13.0,0.0,1.0,0.0,69.7231,2673.0,5.91,302.9146,41.0,1.81,578.8
Ge,32.0,4.0,14.0,0.0,1.0,0.0,72.6308,3106.0,5.323,1211.4,118.9352,2.01,762.0
As,33.0,4.0,15.0,0.0,1.0,0.0,74.9215956,0.0,5.727,0.0,77.65,2.18,947.0
Se,34.0,4.0,16.0,0.0,1.0,0.0,78.9718,958.0,4.81,494.0,194.9587,2.55,941.0
Br,35.0,4.0,17.0,0.0,0.0,1.0,79.904,332.0,3.1028,265.8,324.537,2.96,1139.9
Kr,36.0,4.0,18.0,1.0,0.0,0.0,83.7982,119.93,3.749,115.78,-96.0,3.0,1350.8
Rb,37.0,5.0,1.0,0.0,1.0,0.0,85.46783,961.0,1.532,312.45,46.884,0.82,403.0
Sr,38.0,5.0,2.0,0.0,1.0,0.0,87.621,1650.0,2.64,1050.0,5.023,0.95,549.5
Y,39.0,5.0,3.0,0.0,1.0,0.0,88.905842,3203.0,4.472,1799.0,29.6,1.22,600.0
Zr,40.0,5.0,4.0,0.0,1.0,0.0,91.2242,4650.0,6.52,2128.0,41.806,1.33,640.1
Nb,41.0,5.0,5.0,0.0,1.0,0.0,92.906372,5017.0,8.57,2750.0,88.516,1.6,652.1
Mo,42.0,5.0,6.0,0.0,1.0,0.0,95.951,4912.0,10.28,2896.0,72.1,2.16,684.3
Tc,43.0,5.0,7.0,0.0,1.0,0.0,98.0,4538.0,11.0,2430.0,53.0,1.9,702.0
Ru,44.0,5.0,8.0,0.0,1.0,0.0,101.072,4423.0,12.45,2607.0,100.96,2.2,710.2
Rh,45.0,5.0,9.0,0.0,1.0,0.0,102.905502,3968.0,12.41,2237.0,110.27,2.28,719.7
Pd,46.0,5.0,10.0,0.0,1.0,0.0,106.421,3236.0,12.023,1828.05,54.24,2.2,804.4
Ag,47.0,5.0,11.0,0.0,1.0,0.0,107.86822,2435.0,10.49,1234.93,125.862,1.93,731.0
Cd,48.0,5.0,12.0,0.0,1.0,0.0,112.4144,1040.0,8.65,594.22,-68.0,1.69,867.8
In,49.0,5.0,13.0,0.0,1.0,0.0,114.8181,2345.0,7.31,429.7485,37.043,1.78,558.3
Sn,50.0,5.0,14.0,0.0,1.0,0.0,118.7107,2875.0,7.365,505.08,107.2984,1.96,708.6
Sb,51.0,5.0,15.0,0.0,1.0,0.0,121.7601,1908.0,6.697,903.78,101.059,2.05,834.0
Te,52.0,5.0,16.0,0.0,1.0,0.0,127.603,1261.0,6.24,722.66,190.161,2.1,869.3
I,53.0,5.0,17.0,0.0,1.0,0.0,126.904473,457.4,4.933,386.85,295.1531,2.66,1008.4
Xe,54.0,5.0,18.0,1.0,0.0,0.0,131.2936,165.051,5.894,161.4,-77.0,2.6,1170.4
Cs,55.0,6.0,1.0,0.0,1.0,0.0,132.905452,944.0,1.93,301.7,45.505,0.79,375.7
Ba,56.0,6.0,2.0,0.0,1.0,0.0,137.3277,2118.0,3.51,1000.0,13.954,0.89,502.9
La,57.0,6.0,3.0,0.0,1.0,0.0,138.905477,3737.0,6.162,1193.0,53.0,1.1,538.1
Ce,58.0,6.0,3.0,0.0,1.0,0.0,140.1161,3716.0,6.77,1068.0,55.0,1.12,534.4
Pr,59.0,6.0,3.0,0.0,1.0,0.0,140.907662,3403.0,6.77,1208.0,93.0,1.13,527.0
Nd,60.0,6.0,3.0,0.0,1.0,0.0,144.2423,3347.0,7.01,1297.0,184.87,1.14,533.1
Pm,61.0,6.0,3.0,0.0,1.0,0.0,145.0,3273.0,7.26,1315.0,12.45,1.13,540.0
Sm,62.0,6.0,3.0,0.0,1.0,0.0,150.362,2173.0,7.52,1345.0,15.63,1.17,544.5
Eu,63.0,6.0,3.0,0.0,1.0,0.0,151.9641,1802.0,5.264,1099.0,11.2,1.2,547.1
Gd,64.0,6.0,3.0,0.0,1.0,0.0,157.253,3273.0,7.9,1585.0,13.22,1.2,593.4
Tb,65.0,6.0,3.0,0.0,1.0,0.0,158.925352,3396.0,8.23,1629.0,112.4,1.1,565.8
Dy,66.0,6.0,3.0,0.0,1.0,0.0,162.5001,2840.0,8.54,1680.0,33.96,1.22,573.0
Ho,67.0,6.0,3.0,0.0,1.0,0.0,164.930332,2873.0,8.79,1734.0,32.61,1.23,581.0
Er,68.0,6.0,3.0,0.0,1.0,0.0,167.2593,3141.0,9.066,1802.0,30.1,1.24,589.3
Tm,69.0,6.0,3.0,0.0,1.0,0.0,168.934222,2223.0,9.32,1818.0,99.0,1.25,596.7
Yb,70.0,6.0,3.0,0.0,1.0,0.0,173.0451,1469.0,6.9,1097.0,-1.93,1.1,603.4
Lu,71.0,6.0,3.0,0.0,1.0,0.0,174.96681,3675.0,9.841,1925.0,33.4,1.27,523.5
Hf,72.0,6.0,4.0,0.0,1.0,0.0,178.492,4876.0,13.31,2506.0,17.18,1.3,658.5
Ta,73.0,6.0,5.0,0.0,1.0,0.0,180.947882,5731.0,16.69,3290.0,31.0,1.5,761.0
W,74.0,6.0,6.0,0.0,1.0,0.0,183.841,6203.0,19.25,3695.0,78.76,2.36,770.0
Re,75.0,6.0,7.0,0.0,1.0,0.0,186.2071,5869.0,21.02,3459.0,5.8273,1.9,760.0
Os,76.0,6.0,8.0,0.0,1.0,0.0,190.233,5285.0,22.59,3306.0,103.99,2.2,840.0
Ir,77.0,6.0,9.0,0.0,1.0,0.0,192.2173,4403.0,22.56,2719.0,150.94,2.2,880.0
Pt,78.0,6.0,10.0,0.0,1.0,0.0,195.0849,4098.0,21.45,2041.4,205.041,2.28,870.0
Au,79.0,6.0,11.0,0.0,1.0,0.0,196.9665695,3243.0,19.3,1337.33,222.747,2.54,890.1
Hg,80.0,6.0,12.0,0.0,0.0,1.0,200.5923,629.88,13.534,234.321,-48.0,2.0,1007.1
Tl,81.0,6.0,13.0,0.0,1.0,0.0,204.38,1746.0,11.85,577.0,36.4,1.62,589.4
Pb,82.0,6.0,14.0,0.0,1.0,0.0,207.21,2022.0,11.34,600.61,34.4204,1.87,715.6
Bi,83.0,6.0,15.0,0.0,1.0,0.0,208.980401,1837.0,9.78,544.7,90.924,2.02,703.0
Po,84.0,6.0,16.0,0.0,1.0,0.0,209.0,1235.0,9.196,527.0,136.0,2.0,812.1
At,85.0,6.0,17.0,0.0,1.0,0.0,210.0,610.0,6.35,575.0,233.0,2.2,899.003
Rn,86.0,6.0,18.0,1.0,0.0,0.0,222.0,211.5,9.73,202.0,-68.0,2.2,1037.0
Fr,87.0,7.0,1.0,0.0,1.0,0.0,223.0,950.0,1.87,300.0,46.89,0.79,380.0
Ra,88.0,7.0,2.0,0.0,1.0,0.0,226.0,2010.0,5.5,1233.0,9.6485,0.9,509.3
Ac,89.0,7.0,3.0,0.0,1.0,0.0,227.0,3500.0,10.0,1500.0,33.77,1.1,499.0
Th,90.0,7.0,3.0,0.0,1.0,0.0,232.03774,5061.0,11.724,2023.0,112.72,1.3,587.0
Pa,91.0,7.0,3.0,0.0,1.0,0.0,231.035882,4300.0,15.37,1841.0,53.03,1.5,568.0
U,92.0,7.0,3.0,0.0,1.0,0.0,238.028913,4404.0,19.1,1405.3,50.94,1.38,597.6
Np,93.0,7.0,3.0,0.0,1.0,0.0,237.0,4447.0,20.45,912.0,45.85,1.36,604.5
Pu,94.0,7.0,3.0,0.0,1.0,0.0,244.0,3505.0,19.816,912.5,-48.33,1.28,584.7
Am,95.0,7.0,3.0,0.0,1.0,0.0,243.0,2880.0,12.0,1449.0,9.93,1.13,578.0
Cm,96.0,7.0,3.0,0.0,1.0,0.0,247.0,3383.0,13.51,1613.0,27.17,1.28,581.0
Bk,97.0,7.0,3.0,0.0,1.0,0.0,247.0,2900.0,14.78,1259.0,-165.24,1.3,601.0
Cf,98.0,7.0,3.0,0.0,1.0,0.0,251.0,1743.0,15.1,1173.0,-97.31,1.3,608.0
Es,99.0,7.0,3.0,0.0,1.0,0.0,252.0,1269.0,8.84,1133.0,-28.6,1.3,619.0
Fm,100.0,7.0,3.0,0.0,1.0,0.0,257.0,0.0,0.0,1800.0,33.96,1.3,627.0
Md,101.0,7.0,3.0,0.0,1.0,0.0,258.0,0.0,0.0,1100.0,93.91,1.3,635.0
No,102.0,7.0,3.0,0.0,1.0,0.0,259.0,0.0,0.0,1100.0,-223.22,1.3,642.0
Lr,103.0,7.0,3.0,0.0,1.0,0.0,266.0,0.0,0.0,1900.0,-30.04,1.3,470.0
Rf,104.0,7.0,4.0,0.0,1.0,0.0,267.0,5800.0,23.2,2400.0,0.0,0.0,580.0
Db,105.0,7.0,5.0,0.0,1.0,0.0,268.0,0.0,29.3,0.0,0.0,0.0,500.0
Sg,106.0,7.0,6.0,0.0,1.0,0.0,269.0,0.0,35.0,0.0,0.0,0.0,500.0
Bh,107.0,7.0,7.0,0.0,1.0,0.0,270.0,0.0,37.1,0.0,0.0,0.0,500.0
Hs,108.0,7.0,8.0,0.0,1.0,0.0,269.0,0.0,40.7,126.0,0.0,0.0,500.0
Mt,109.0,7.0,9.0,0.0,1.0,0.0,278.0,0.0,37.4,0.0,0.0,0.0,500.0
Ds,110.0,7.0,10.0,0.0,1.0,0.0,281.0,0.0,34.8,0.0,0.0,0.0,500.0
Rg,111.0,7.0,11.0,0.0,1.0,0.0,282.0,0.0,28.7,0.0,151.0,0.0,500.0
Cn,112.0,7.0,12.0,0.0,0.0,1.0,285.0,3570.0,14.0,0.0,0.0,0.0,500.0
Nh,113.0,7.0,13.0,0.0,1.0,0.0,286.0,1430.0,16.0,700.0,66.6,0.0,500.0
Fl,114.0,7.0,14.0,0.0,1.0,0.0,289.0,420.0,14.0,340.0,0.0,0.0,500.0
Mc,115.0,7.0,15.0,0.0,1.0,0.0,289.0,1400.0,13.5,670.0,35.3,0.0,500.0
Lv,116.0,7.0,16.0,0.0,1.0,0.0,293.0,1085.0,12.9,709.0,74.9,0.0,500.0
Ts,117.0,7.0,17.0,0.0,1.0,0.0,294.0,883.0,7.17,723.0,165.9,0.0,500.0
Og,118.0,7.0,18.0,0.0,1.0,0.0,294.0,350.0,4.95,0.0,5.40318,0.0,500.0
Uue,119.0,8.0,1.0,0.0,1.0,0.0,315.0,630.0,3.0,0.0,63.87,0.0,500.0
