Symbol,OxidationStates,MainStates
H,−1, 1 ,−1, 1
He,0,0
Li,0, 1 ,1
Be,0, 1, 2 ,2
B,−5, −1, 0, 1, 2, 3 ,3
C,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,−4, −3, −2, −1, 0, 1, 2, 3, 4
N,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
O,−2, −1, 0, 1, 2,−2
F,−1, 0 ,−1
Ne,0,0
Na,−1, 0, 1 ,1
Mg,0, 1, 2 ,2
Al,−2, −1, 0, 1, 2, 3 ,3
Si,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,4
P,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
S,−2, −1, 0, 1, 2, 3, 4, 5, 6 ,−2, 2, 4, 6
Cl,−1, 1, 2, 3, 4, 5, 6, 7 ,−1, 1, 3, 5, 7
Ar,0,0
K,−1, 1 ,1
Ca,1, 2 ,2
Sc,0, 1, 2, 3 ,3
Ti,−2, −1, 0, 1, 2, 3, 4 ,2, 3, 4
V,−3, −1, 0, 1, 2, 3, 4, 5 ,2, 3, 4, 5
Cr,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,2, 3, 6
Mn,−3, −2, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,2, 3, 4, 6, 7
Fe,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,2, 3
Co,−3, −1, 0, 1, 2, 3, 4, 5 ,2, 3
Ni,−2, −1, 0, 1, 2, 3, 4 ,2
Cu,−2, 0, 1, 2, 3, 4 ,1, 2
Zn,−2, 0, 1, 2 ,2
Ga,−5, −4, −3, −2, −1, 0, 1, 2, 3 ,3
Ge,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,2, 4
As,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
Se,−2, −1, 0, 1, 2, 3, 4, 5, 6 ,−2, 2, 4, 6
Br,−1, 1, 2, 3, 4, 5, 7 ,−1, 1, 3, 5
Kr,0, 1, 2 ,0
Rb,−1, 1 ,1
Sr,1, 2 ,2
Y,0,  1, 2, 3 ,3
Zr,−2, 0, 1, 2, 3, 4 ,4
Nb,−3, −1, 0, 1, 2, 3, 4, 5 ,5
Mo,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,4, 6
Tc,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,4, 7
Ru,−4, −2, 0, 1, 2, 3, 4, 5, 6, 7, 8 ,3, 4
Rh,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,3
Pd,0, 1, 2, 3, 4, 5 ,0, 2, 4
Ag,−2, −1, 0, 1, 2, 3 ,1
Cd,−2, 1, 2 ,2
In,−5, −2, −1, 0, 1, 2, 3 ,3
Sn,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,2, 4
Sb,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,3, 5
Te,−2, −1, 0, 1, 2, 3, 4, 5, 6 ,−2, 2, 4, 6
I,−1, 1, 2, 3, 4, 5, 6, 7 ,−1, 1, 3, 5, 7
Xe,0, 2, 4, 6, 8 ,0
Cs,−1, 1 ,1
Ba,1, 2 ,2
La,0, 1, 2, 3 ,3
Ce,1, 2, 3, 4 ,3, 4
Pr,0, 1, 2, 3, 4, 5 ,3
Nd,0, 2, 3, 4 ,3
Pm,2, 3 ,3
Sm,0, 1, 2, 3 ,3
Eu,0, 2, 3 ,2, 3
Gd,0, 1, 2, 3 ,3
Tb,0, 1, 2, 3, 4 ,3
Dy,0, 1, 2, 3, 4 ,3
Ho,0, 1, 2, 3 ,3
Er,0, 1, 2, 3 ,3
Tm,0, 1, 2, 3 ,3
Yb,0, 1, 2, 3 ,3
Lu,0, 1, 2, 3 ,3
Hf,−2, 0, 1, 2, 3, 4 ,4
Ta,−3, −1, 0, 1, 2, 3, 4, 5 ,5
W,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,4, 6
Re,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,2, 4, 6, 7
Os,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6, 7, 8 ,2, 3, 4, 8
Ir,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,1, 3, 4
Pt,−3, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,2, 4
Au,−3, −2, −1, 0, 1, 2, 3, 5 ,1, 3
Hg,−2 , 1, 2  ,1, 2
Tl,−5, −2, −1, 1, 2, 3 ,1, 3
Pb,−4, −2, −1, 0, 1, 2, 3, 4 ,2, 4
Bi,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,3
Po,−2, 2, 4, 5, 6 ,−2, 2, 4
At,−1, 1, 3, 5, 7,−1, 1
Rn,0, 2, 6,0
Fr,1 ,1
Ra,2 ,2
Ac,3 ,3
Th,−1, 1, 2, 3, 4 ,4
Pa,2, 3, 4, 5 ,5
U,−1, 1, 2, 3, 4, 5, 6 ,4, 6
Np,2, 3, 4, 5, 6, 7 ,5
Pu,2, 3, 4, 5, 6, 7, 8 ,4
Am,2, 3, 4, 5, 6, 7 ,3
Cm,3, 4, 5, 6 ,3
Bk,2, 3, 4, 5,3
Cf,2, 3, 4, 5,3
Es,2, 3, 4,3
Fm,2, 3,3
Md,2, 3,3
No,2, 3,2
Lr,3,3
Rf,, , 4 ,, 4 
Db,, , 5 ,5
Sg,0, , , , 6 ,, 6 
Bh,, , , 7 ,, , , 7 
Hs,, , , , 8 ,,  
Mt,, , , , ,  ,, ,  
Ds,, , , ,  ,, ,  
Rg,, , , ,  , 
Cn,0, , 2, ,  ,0, 2
Nh,, , ,  ,,  
Fl,, , , ,  , 
Mc,,  ,,  
Lv,, ,  , 
Ts,, , ,  ,,  
